pkg_type,organization_slug,contact_email
geocat,bundesamt-fur-bevolkerungsschutz-babs,hans.schuepbach@babs.admin.ch
geocat,bundesamt-fur-energie-bfe,geoinformation@bfe.admin.ch
geocat,bundesamt-fur-gesundheit-bag,martha.palacios@bag.admin.ch
geocat,bundesamt-fur-kommunikation-bakom,christian.meier@bakom.admin.ch
geocat,bundesamt-fur-kultur-bak,vanessa.rion@bak.admin.ch
geocat,bundesamt-fur-landestopografie-swisstopo,geocat@swisstopo.ch
geocat,bundesamt-fur-landwirtschaft-blw,beat.tschumi@blw.admin.ch
geocat,bundesamt-fur-meteorologie-und-klimatologie-meteoschweiz,daniel.wolf@meteoschweiz.ch
geocat,bundesamt-fur-raumentwicklung-are,rolf.giezendanner@are.admin.ch
geocat,bundesamt-fur-statistik-bfs,romain.douard@bfs.admin.ch
geocat,bundesamt-fur-strassen-astra,gis@astra.admin.ch
geocat,bundesamt-fur-umwelt-bafu,zagorka.saula@bafu.admin.ch
geocat,bundesamt-fur-verkehr-bav,fredi.daellenbach@bav.admin.ch
geocat,bundesamt-fur-zivilluftfahrt-bazl,pascal.imoberdorf@bazl.admin.ch
geocat,dienstzweig-geomatik-gemeinde-koeniz,ivo.moser@koeniz.ch
geocat,sitg-systeme-dinformation-du-territoire-a-geneve,pierre.lafontaine@etat.ge.ch
geocat,kanton-basel-stadt,kira.stich@bs.ch
geocat,amt-fuer-geoinformation-des-kantons-bern,pascal.kuhn@be.ch
geocat,amt-fuer-raumentwicklung-und-geoinformation-areg-kanton-st-gallen,stefan.bruehlmann@sg.ch
geocat,kanton-thurgau,fabian.rechsteiner@tg.ch
geocat,canton-du-valais-cc-geo,isabelle.schaer@admin.vs.ch
geocat,kanton-wallis,isabelle.schaer@admin.vs.ch
geocat,kanton-zug,alexander.konrad@zg.ch
geocat,gis-kanton-zug,alexander.konrad@zg.ch
geocat,geoinformation-kanton-zuerich,laurence.cuche@bd.zh.ch
geocat,kanton-zuerich,laurence.cuche@bd.zh.ch
geocat,geoinformation-der-stadt-bern,Marcel.Beyeler@BERN.CH
geocat,stadt-bern,Marcel.Beyeler@BERN.CH
geocat,stadt-luzern,stephan.schmid@stadtLuzern.ch
geocat,gruppe-verteidigung,markus.ruettimann@gs-vbs.admin.ch
